Experiment date,Raw video name,Video name,Light,Injector,Resolution,FPS,Total time(m/s),EtOH,,,,,,,
22/08/2025,AA0001,L_2025_08_22_1,WL,BD,1920x1080,24,33:15,50%,"C+, H2O, Et50%, Redbull",,,,,,
22/08/2025,AA0002,L_2025_08_22_2,WL,BD,1920x1080,24,30:27:00,50%,,,,,,,
22/08/2025,AA0003,L_2025_08_22_3,WL,BD,1920x1080,24,20:32,50%,,,,,,,
22/08/2025,AA0004,L_2025_08_22_4,RL,BD,1920x1080,24,28:49:00,50%,,,,,,,
22/08/2025,AA0005,L_2025_08_22_5,RL,BD,1920x1080,24,24:25:00,50%,,,,,,,
22/08/2025,AA0006,L_2025_08_22_6,RL,BD,1920x1080,24,20:40,50%,,,,,50%,25%,12.50%
25/08/2025,AA0007 & AA0008,L_2025_08_25_7,RL,AW,1920x1080,24,23:06,50%,,,,RL,15,8,
25/08/2025,AA0009,L_2025_08_25_9,RL,AW,1920x1080,24,25:29:00,50%,,,,WL,12,10,
25/08/2025,AA0010,L_2025_08_25_10,RL,AW,1920x1080,24,22:57,50%,,,,,,,
27/08/2025,AA0011,L_2025_08_25_11,WL,AW,1920x1080,24,22:57,50%,,,,,,,
27/08/2025,AA0012,L_2025_08_25_12,WL,AW,1920x1080,24,35:23:00,50%,,,,,,,
09/09/2025,AA0013,L_2025_09_09_13,RL,BD,1920x1080,24,19:38,50%,,,,,,,
09/09/2025,AA0014,L_2025_09_09_14,RL,BD,1920x1080,24,18:54,50%,,,,,,,
09/09/2025,AA0015,L_2025_09_09_15,RL,BD,1920x1080,24,19:23,50%,,,,,,,
09/09/2025,AA0016,L_2025_09_09_16,WL,BD,1920x1080,24,20:43,50%,,,,,,,
09/09/2025,AA0017,L_2025_09_09_17,WL,BD,1920x1080,24,27:25:00,50%,,,,,,,
09/09/2025,AA0018,L_2025_09_09_18,WL,BD,1920x1080,24,21:14,50%,,,,,,,
09/09/2025,AA0019,L_2025_09_09_19,WL,BD,1920x1080,24,24:11:00,50%,,,,,,,
11/09/2025,AA0020,L_WL_2025_09_11_20,WL,AW,1920x1080,24,21:54,50%,,,,,,,
11/09/2025,AA0021,L_WL_2025_09_11_21,WL,AW,1920x1080,24,26:18:00,50%,,,,,,,
11/09/2025,AA0022,L_RL_2025_09_11_22,RL,AW,1920x1080,24,26:18:00,50%,,,,,,,
11/09/2025,AA0023,L_RL_2025_09_11_23,RL,AW,1920x1080,24,26:18:00,50%,,,,,,,
11/09/2025,AA0025,L_RL_2025_09_11_25,RL,AW,1920x1080,24,19:01,50%,,,,,,,
15/09/2025,AA0026,L_RL_2025_09_15_26,RL,BD,1920x1080,24,26:18:00,50%,,,,,,,
15/09/2025,AA0027,L_RL_2025_09_15_27,RL,BD,1920x1080,24,19:26,50%,,,,,,,
15/09/2025,AA0028,L_RL_2025_09_15_28,RL,BD,1920x1080,24,26:18:00,50%,,,,,,,
16/09/2025,AA0029,L_WL_2025_09_16_29,WL,BD,1920x1080,24,22:57,50%,,,,,,,

